ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1643,Dayr az Zawr,Syria,Provincial capital,SY,242565,5,100;000 to 249;999
1644,Kurdzhali,Bulgaria,Provincial capital,BU,-999,7,Less than 50;000
1645,Lodz,Poland,Provincial capital,PL,768755,3,500;000 to 999;999
1646,Zamosc,Poland,Provincial capital,PL,66034,6,50;000 to 99;999
1647,Kirklareli,Turkey,Provincial capital,TU,58223,6,50;000 to 99;999
1648,Sieradz,Poland,Provincial capital,PL,44436,7,Less than 50;000
1649,Edirne,Turkey,Provincial capital,TU,126470,5,100;000 to 249;999
1650,Van,Turkey,Provincial capital,TU,371713,4,250;000 to 499;999
1651,Kyiv,Ukraine,National and provincial capital,UP,2514227,2,1;000;000 to 4;999;999
1652,Bologna,Italy,Provincial capital,IT,371217,4,250;000 to 499;999
1653,Tekirdag,Turkey,Provincial capital,TU,122287,5,100;000 to 249;999
1654,Hakkari,Turkey,Provincial capital,TU,77699,6,50;000 to 99;999
1655,Dahuk,Iraq,Provincial capital,IZ,-999,7,Less than 50;000
1656,Zhytomyra,Ukraine,Provincial capital,UP,282192,4,250;000 to 499;999
1657,Thessaloniki,Greece,Other,GR,354290,4,250;000 to 499;999
1658,Czestochowa,Poland,Provincial capital,PL,248125,5,100;000 to 249;999
1659,San Marino,San Marino,National capital,SM,29000,7,Less than 50;000
1660,Polygyros,Greece,Provincial capital,GR,5258,7,Less than 50;000
1661,Cherkasy,Ukraine,Provincial capital,UP,297568,4,250;000 to 499;999
1662,Canakkale,Turkey,Provincial capital,TU,87791,6,50;000 to 99;999
1663,Ancona,Italy,Provincial capital,IT,100507,5,100;000 to 249;999
1664,Lomza,Poland,Provincial capital,PL,63723,6,50;000 to 99;999
1665,Al Mawsil,Iraq,Other,IZ,1739800,2,1;000;000 to 4;999;999
1666,Vinnytsya,Ukraine,Provincial capital,UP,352115,4,250;000 to 499;999
1667,Balikesir,Turkey,Provincial capital,TU,238151,5,100;000 to 249;999
1668,Perugia,Italy,Provincial capital,IT,149125,5,100;000 to 249;999
1669,Ostroleca,Poland,Provincial capital,PL,53740,6,50;000 to 99;999
1670,Arbil,Iraq,Provincial capital,IZ,932800,3,500;000 to 999;999
1671,Kirovohrad,Ukraine,Provincial capital,UP,249454,5,100;000 to 249;999
1672,Pitesti,Romania,Provincial capital,RO,167669,5,100;000 to 249;999
1673,Aquila,Italy,Provincial capital,IT,68503,6,50;000 to 99;999
1674,Ciechanow,Poland,Provincial capital,PL,46438,7,Less than 50;000
